subject,slice_index,slice_position,slice_fraction,dice,iou,precision,recall,hausdorff,mask_area,pred_area,box_area,x_min,y_min,x_max,y_max
sub-002,5,5,0.45454545454545453,0.9782189589400714,0.9573665194700923,1.0,0.9573665194700923,4.242640687119285,12455.0,11924.0,17440.0,90,47,199,207
sub-002,6,6,0.5454545454545454,0.9718727186842444,0.94528443739036,0.9999116373597243,0.9453634085213033,7.0710678118654755,11970.0,11317.0,16799.0,90,49,197,206
sub-002,7,7,0.6363636363636364,0.9667358708189158,0.9356135024111448,1.0,0.9356135024111448,7.0,11198.0,10477.0,15960.0,91,51,196,203
sub-002,8,8,0.7272727272727273,0.9766760904684976,0.9544153922052294,1.0,0.9544153922052294,4.123105625617661,10135.0,9673.0,14994.0,93,54,195,201
sub-002,9,9,0.8181818181818182,0.9776908923643054,0.956355455568054,0.9997648165569144,0.9565706570657065,2.8284271247461903,8888.0,8504.0,13440.0,95,57,191,197
sub-002,10,10,0.9090909090909091,0.974993453783713,0.9512070507089028,0.9998657357679914,0.9513285641287685,3.605551275463989,7828.0,7448.0,12052.0,95,62,187,193
sub-002,11,11,1.0,0.9744485002380574,0.9501702259362427,0.9993489583333334,0.9507587488386497,3.605551275463989,6458.0,6144.0,9996.0,95,68,179,187
sub-003,0,0,0.0,0.9488214058186452,0.9026262626262627,0.9480563571549822,0.9495876902150812,18.601075237738275,11763.0,11782.0,19256.0,87,45,203,211
sub-003,1,1,0.09090909090909091,0.939674433450367,0.8862131246237207,0.9294396211523284,0.9501371631434565,19.72308292331602,12394.0,12670.0,19604.0,87,44,203,213
sub-003,2,2,0.18181818181818182,0.9458885326947588,0.8973325516634911,0.9457789449293272,0.9459981458590853,16.64331697709324,12944.0,12947.0,19656.0,87,43,204,211
sub-003,3,3,0.2727272727272727,0.9729350284689182,0.9472964763061968,0.9994391475042064,0.9478003191246865,4.123105625617661,13161.0,12481.0,19140.0,87,44,203,209
sub-003,4,4,0.36363636363636365,0.9708707165724675,0.9433904293724557,1.0,0.9433904293724557,5.0,13019.0,12282.0,18468.0,87,45,201,207
sub-003,5,5,0.45454545454545453,0.9720783425056653,0.9456735690103142,1.0,0.9456735690103142,8.0,12701.0,12011.0,17696.0,88,47,200,205
sub-003,6,6,0.5454545454545454,0.9706752302881771,0.9430213464696223,1.0,0.9430213464696223,7.0710678118654755,12180.0,11486.0,17050.0,89,49,199,204
sub-003,7,7,0.6363636363636364,0.9659784032892061,0.9341955780826706,1.0,0.9341955780826706,7.615773105863909,11443.0,10690.0,15900.0,91,51,197,201
sub-003,8,8,0.7272727272727273,0.9697298898819812,0.9412384969325154,1.0,0.9412384969325154,4.123105625617661,10432.0,9819.0,14935.0,92,53,195,198
sub-003,9,9,0.8181818181818182,0.9683651564794938,0.9386704632570365,1.0,0.9386704632570365,4.47213595499958,9131.0,8571.0,13700.0,93,57,193,194
