subject_id,n_slices,mean_dice,median_dice,std_dice,min_dice,max_dice
sub-075,61,0.9320484723513933,0.974801451122659,0.10253606677547066,0.3398328690807799,0.9908962486265892
sub-074,58,0.9323486229747016,0.9677905582591462,0.10114981246459986,0.36792452830188677,0.9861779779468861
sub-118,60,0.9357644184719212,0.9638451322618924,0.07468513109206623,0.5633187772925764,0.9827940015785319
sub-025,12,0.954072446073375,0.9559313589106011,0.015237458601324668,0.9341373639282637,0.9754726055269876
sub-016,12,0.9574865892064618,0.9592905970919723,0.01537042961023669,0.9304144984747892,0.9798451988658134
sub-100,12,0.9589971577185942,0.9571821180283282,0.00912275492645128,0.9448667431975427,0.9742388758782201
sub-043,12,0.959634738010574,0.9602482378577297,0.0160377507655771,0.9238390092879257,0.9803011768675919
sub-022,12,0.9596413558525624,0.9608389822390493,0.01439696556270782,0.9340485276117791,0.9828343313373253
sub-017,12,0.9607272529337005,0.9620929911410179,0.01493288195794634,0.9243709665724023,0.9799652828005208
sub-035,12,0.9612630556337397,0.9659073228076006,0.01595966032838844,0.9321103676415307,0.979101399849308
sub-012,12,0.9613757126984511,0.9630986347650485,0.011710976962772603,0.9364288088116602,0.9747026504860231
sub-004,12,0.9618358059848657,0.9647970716691652,0.011931985354862697,0.934991237586581,0.9760394359368055
sub-125,12,0.9621118136695652,0.9634852697946343,0.010955713037259543,0.9419089574155654,0.9789483621259322
sub-006,12,0.9622178579408507,0.9651158075174698,0.009331961277574982,0.944174659870771,0.972739073993942
sub-005,12,0.9624538796922278,0.9617147223742872,0.012029763235829369,0.9352851839352008,0.9801267458315388
sub-009,12,0.9628579233363993,0.9698472539404541,0.014157353978867918,0.9348804558781022,0.9782748978274898
sub-102,12,0.9628630468776755,0.9636858018543388,0.006786632473442603,0.9520172210263176,0.9730062862073215
sub-028,12,0.9632741810469317,0.9680696588174347,0.013244336393975754,0.9375441072688779,0.9815803064210707
sub-008,12,0.9635828707231862,0.9666853740555728,0.011679238285777315,0.9430845600821637,0.9803141135972461
sub-038,12,0.9638696234890324,0.9619296212222909,0.012033568014851366,0.9350577658609677,0.9785323297981526
sub-128,12,0.9638712344818158,0.9645840826809894,0.010473133380140678,0.9438392186326071,0.9778857637030021
sub-036,12,0.9639315180907272,0.9672782910174044,0.012903301614771705,0.9398102466793169,0.9809474563462074
sub-126,12,0.9640348670358958,0.965636764492336,0.006237063165917605,0.9469675055443062,0.9710784755383368
sub-031,12,0.9640504758621452,0.9672278580689162,0.010245927173244091,0.9442888786726292,0.977306983754815
sub-021,12,0.9641876023836624,0.9644269262175527,0.014901627468131744,0.9350573665998907,0.9849057913182275
sub-003,12,0.964290183538623,0.9702025600850792,0.012124041467126343,0.939674433450367,0.9747555441937752
sub-027,12,0.9643052505658426,0.9680902224290656,0.011618439755064606,0.942710091123861,0.9798784142477952
sub-011,12,0.9647124445931796,0.9674272213938317,0.013534676092423849,0.9351535836177475,0.9813440320962888
sub-098,12,0.9649353573335168,0.9627439629692345,0.010631287645907614,0.9426595591413341,0.9792713798290348
sub-040,12,0.9651140184773541,0.9664258755008857,0.010604442178243181,0.9441198255287631,0.9783090232791407
sub-042,12,0.9651860251300671,0.9675053836719253,0.012181953043094293,0.9431696162258898,0.9784492335036659
sub-124,12,0.9653283016848394,0.96653102296456,0.008264638865440268,0.952621722846442,0.9747791952894995
sub-103,12,0.9655814754427942,0.9680059893890888,0.01038759581701451,0.9416198640260124,0.9808710437840553
sub-122,12,0.9656415689202316,0.9634020135069753,0.007483617040906527,0.9561314206385932,0.9767294744927929
sub-019,12,0.965707395268497,0.9688161956977623,0.01336443271406368,0.9390402942651731,0.982246879334258
sub-131,12,0.9658219755280496,0.9684012558979158,0.011959359686055873,0.9335052100118165,0.9781567350067063
sub-130,12,0.9659248312573306,0.9680950675494551,0.007243607458004992,0.9497576224346487,0.9737649652072438
sub-041,12,0.9664571099602518,0.9726741507763106,0.01543955953216827,0.9386653581943082,0.981859410430839
sub-013,12,0.9664776328706505,0.9695029435446847,0.008541348979894385,0.9475440222428174,0.9766202301635373
sub-129,12,0.9669453751676592,0.9693298719933603,0.007816248539742445,0.9517532296335355,0.9764979338842975
sub-014,12,0.9671081998188984,0.9674276299083258,0.007091428420860354,0.9547359211677487,0.9791262421355912
sub-101,12,0.9672108878425171,0.9675545046283982,0.008550820585783029,0.9480550691797988,0.9788955713504648
