subject_id,slice_index,component_count,retained_component_boxes,gt_area,coarse_size,perturbation,perturbation_radius,single_dice,single_iou,single_precision,single_recall,single_hausdorff_px,single_mask_area_pred,multi_dice,multi_iou,multi_precision,multi_recall,multi_hausdorff_px,multi_mask_area_pred,mask_only_dice,mask_only_iou,mask_only_precision,mask_only_recall,mask_only_hausdorff_px,mask_only_mask_area_pred,box_mask_dice,box_mask_iou,box_mask_precision,box_mask_recall,box_mask_hausdorff_px,box_mask_mask_area_pred,multi_over_single_dice,mask_only_over_single_dice,box_mask_over_multi_dice,best_mask_over_best_box_dice
sub-086,14,1,1,4944,32,none,1,0.972787702534275,0.9470171890798786,0.9997865072587532,0.9472087378640777,3.0,4684,0.972787702534275,0.9470171890798786,0.9997865072587532,0.9472087378640777,3.0,4684,0.0,0.0,1.0,0.0,nan,0,0.9761904761904762,0.9534883720930233,0.9997879558948262,0.9536812297734628,2.8284271247461903,4716,0.0,-0.972787702534275,0.003402773656201119,0.003402773656201119
sub-086,15,2,2,5202,32,none,1,0.975292843783837,0.9517771373679155,0.9993947952390558,0.9523260284505959,16.1245154965971,4957,0.96880195599022,0.9394916540212443,0.9860641051164643,0.9521337946943483,4.123105625617661,5023,0.0,0.0,1.0,0.0,nan,0,0.9704822211397954,0.9426570779712339,0.9838040687339522,0.9575163398692811,5.0,5063,-0.006490887793616951,-0.975292843783837,0.0016802651495754217,-0.004810622644041529
sub-086,16,1,1,5620,32,none,1,0.968841642228739,0.9395662993245645,0.9988662131519275,0.9405693950177936,3.1622776601683795,5292,0.968841642228739,0.9395662993245645,0.9988662131519275,0.9405693950177936,3.1622776601683795,5292,0.0,0.0,1.0,0.0,nan,0,0.976921679084136,0.9548845470692717,0.9981433345711103,0.9565836298932384,2.23606797749979,5386,0.0,-0.968841642228739,0.008080036855396933,0.008080036855396933
sub-086,17,1,1,5885,32,none,1,0.9720621616902392,0.9456429420757602,0.9996408690967857,0.945964316057774,3.605551275463989,5569,0.9720621616902392,0.9456429420757602,0.9996408690967857,0.945964316057774,3.605551275463989,5569,0.0,0.0,1.0,0.0,nan,0,0.9799029799029799,0.9605978260869565,0.9994698710019438,0.9610875106202209,2.0,5659,0.0,-0.9720621616902392,0.007840818212740741,0.007840818212740741
sub-086,18,1,1,6081,32,none,1,0.9745876809155166,0.9504349253241424,0.9979321040840944,0.9523104752507812,3.605551275463989,5803,0.9745876809155166,0.9504349253241424,0.9979321040840944,0.9523104752507812,3.605551275463989,5803,0.0,0.0,1.0,0.0,nan,0,0.9797184042909822,0.9602431411204205,0.9989745342676466,0.9611905936523598,2.23606797749979,5851,0.0,-0.9745876809155166,0.005130723375465607,0.005130723375465607
sub-086,19,1,1,6238,32,none,1,0.9768089813980169,0.9546692295370816,0.9991617770326907,0.9554344341134979,3.0,5965,0.9768089813980169,0.9546692295370816,0.9991617770326907,0.9554344341134979,3.0,5965,0.0,0.0,1.0,0.0,nan,0,0.9794016674840608,0.9596347909658818,0.9991661107404937,0.9604039756332158,3.0,5996,0.0,-0.9768089813980169,0.002592686086043905,0.002592686086043905
sub-086,20,1,1,6365,32,none,1,0.9661385023727178,0.9344950988019294,0.9897824653922215,0.9435978004713276,25.495097567963924,6068,0.9661385023727178,0.9344950988019294,0.9897824653922215,0.9435978004713276,25.495097567963924,6068,0.0,0.0,1.0,0.0,nan,0,0.9766881028938906,0.9544383346425765,1.0,0.9544383346425765,3.1622776601683795,6075,0.0,-0.9661385023727178,0.01054960052117282,0.01054960052117282
sub-086,21,1,1,6484,32,none,1,0.9733449339555486,0.9480739599383667,0.9990258158792011,0.9489512646514497,13.038404810405298,6159,0.9733449339555486,0.9480739599383667,0.9990258158792011,0.9489512646514497,13.038404810405298,6159,0.0,0.0,1.0,0.0,nan,0,0.9780929866036249,0.9571252313386799,1.0,0.9571252313386799,2.8284271247461903,6206,0.0,-0.9733449339555486,0.0047480526480763174,0.0047480526480763174
sub-086,22,1,1,6566,32,none,1,0.9774178476872761,0.9558330795004569,1.0,0.9558330795004569,3.605551275463989,6276,0.9774178476872761,0.9558330795004569,1.0,0.9558330795004569,3.605551275463989,6276,0.0,0.0,1.0,0.0,nan,0,0.9804347826086957,0.9616204690831557,1.0,0.9616204690831557,2.23606797749979,6314,0.0,-0.9774178476872761,0.003016934921419523,0.003016934921419523
sub-086,23,1,1,6646,32,none,1,0.973290103442952,0.9479699248120301,0.9993658845909955,0.9485404754739694,11.661903789690601,6308,0.973290103442952,0.9479699248120301,0.9993658845909955,0.9485404754739694,11.661903789690601,6308,0.0,0.0,1.0,0.0,nan,0,0.9784426543920215,0.9577951336737759,0.9981217717952732,0.9595245260306952,3.0,6389,0.0,-0.973290103442952,0.005152550949069523,0.005152550949069523
