subject_id,slice_index,gt_area,total_components,retained_components,discarded_components,discarded_component_area,single_box_x_min,single_box_y_min,single_box_x_max,single_box_y_max,component_boxes_xyxy,single_pred_area,multibox_pred_area,single_dice,single_iou,single_precision,single_recall,single_hausdorff_px,multibox_dice,multibox_iou,multibox_precision,multibox_recall,multibox_hausdorff_px,dice_change
sub-086,33,6754,1,1,0,0,7,36,144,119,"7,36,144,119",6383,6383,0.9714546700159854,0.94449378330373,0.9996866677111076,0.9447734675747705,6.082762530298219,0.9714546700159854,0.94449378330373,0.9996866677111076,0.9447734675747705,6.082762530298219,0.0
sub-086,34,6679,1,1,0,0,7,36,144,119,"7,36,144,119",6254,6254,0.9662104693419934,0.9346297681376216,0.9990406140070355,0.9354693816439587,6.708203932499369,0.9662104693419934,0.9346297681376216,0.9990406140070355,0.9354693816439587,6.708203932499369,0.0
sub-086,35,6590,1,1,0,0,8,36,144,119,"8,36,144,119",6056,6056,0.9572987505930729,0.9180949491885333,0.9995046235138706,0.9185128983308043,6.4031242374328485,0.9572987505930729,0.9180949491885333,0.9995046235138706,0.9185128983308043,6.4031242374328485,0.0
sub-086,36,6465,1,1,0,0,9,36,144,119,"9,36,144,119",5633,5633,0.9307323524549512,0.870439084724799,0.9994674241079354,0.8708430007733952,14.422205101855956,0.9307323524549512,0.870439084724799,0.9994674241079354,0.8708430007733952,14.422205101855956,0.0
sub-086,37,6319,1,1,0,0,10,36,144,119,"10,36,144,119",5533,5533,0.9336820789740128,0.8756132299414464,1.0,0.8756132299414464,15.811388300841896,0.9336820789740128,0.8756132299414464,1.0,0.8756132299414464,15.811388300841896,0.0
sub-086,38,6152,2,2,0,0,12,36,144,119,"12,36,144,119;111,97,133,119",5432,5536,0.9340469613259669,0.876255264010366,0.9959499263622975,0.8793888166449935,15.811388300841896,0.9419917864476386,0.8903444929645803,0.994400289017341,0.8948309492847855,14.866068747318506,0.007944825121671717
sub-086,39,5942,3,3,0,0,15,36,144,118,"15,36,144,118;111,36,133,58;112,97,132,118",5375,5558,0.9477776795970664,0.900738998992274,0.9977674418604651,0.9025580612588354,16.15549442140351,0.9634782608695652,0.9295302013422819,0.9967614249730119,0.9323460114439582,5.0,0.015700581272498848
sub-086,40,5723,3,3,0,0,17,36,144,118,"17,36,144,118;112,37,132,58;113,98,132,117",5231,5451,0.9486945408070111,0.9023966655088572,0.9933091187153508,0.9079154289708194,16.76305461424021,0.9547163057096832,0.9133561643835616,0.9785360484314805,0.9320286562991438,4.47213595499958,0.006021764902672144
sub-086,41,5453,3,3,0,0,19,36,144,118,"19,36,144,118;112,38,132,57;115,99,131,115",5101,5269,0.9418230054955468,0.8900429799426934,0.9743187610272496,0.9114249037227214,24.041630560342615,0.9427345644469315,0.8916725476358504,0.9591952932245208,0.926829268292683,24.041630560342615,0.0009115589513847278
sub-086,42,5166,2,2,0,0,29,36,144,118,"29,36,144,118;114,39,131,57",4915,4973,0.9576430909631981,0.9187285877426723,0.9820956256358088,0.9343786295005807,14.866068747318506,0.9590689417102278,0.921356831533068,0.9776794691333199,0.9411536972512582,5.0,0.0014258507470297221
sub-086,43,4936,2,1,1,1,32,37,144,118,"32,37,144,118",4771,4771,0.9591016792005769,0.9214172604908947,0.9756864389016977,0.9430713128038898,11.0,0.9591016792005769,0.9214172604908947,0.9756864389016977,0.9430713128038898,11.0,0.0
sub-086,44,4724,1,1,0,0,35,37,144,118,"35,37,144,118",4439,4439,0.9387755102040817,0.8846153846153846,0.9689119170984456,0.9104572396274344,6.082762530298219,0.9387755102040817,0.8846153846153846,0.9689119170984456,0.9104572396274344,6.082762530298219,0.0
sub-086,45,4497,1,1,0,0,38,37,144,117,"38,37,144,117",4122,4122,0.9216846501914375,0.854744996772111,0.9636098981077147,0.8832555036691128,6.0,0.9216846501914375,0.854744996772111,0.9636098981077147,0.8832555036691128,6.0,0.0
